"羁绊","人数","成员","效果"
"水花兄弟","2","斯蒂芬·库里、克莱·汤普森","三分 +3 · 控球 +1 · 每关奖金 +1"
"勇士轴心","2","斯蒂芬·库里、德雷蒙德·格林","控球 +4 · 防守 +3"
"紫金OK","2","科比·布莱恩特、沙奎尔·奥尼尔","篮下 +3 · 中投 +1 · 胜利奖金 +1"
"冠军内外线","2","科比·布莱恩特、保罗·加索尔","篮下 +4 · 中投 +3"
"湖人双核","2","勒布朗·詹姆斯、安东尼·戴维斯","篮下 +2 · 防守 +1 · 每关奖金 +1"
"雄鹿冠军组","2","扬尼斯·阿德托昆博、朱·霍勒迪","突破 +4 · 防守 +3"
"绿军双闸","2","朱·霍勒迪、德里克·怀特","控球 +3 · 防守 +4"
"雄鹿双星","2","达米安·利拉德、扬尼斯·阿德托昆博","三分 +2 · 突破 +2 · 胜利奖金 +1"
"太阳双刃","2","凯文·杜兰特、德文·布克","中投 +6 · 三分 +1"
"费城硬仗","2","乔尔·恩比德、吉米·巴特勒","篮下 +4 · 防守 +3"
"狼群内外","2","安东尼·爱德华兹、鲁迪·戈贝尔","突破 +4 · 防守 +3"
"纽约双核","2","OG·阿奴诺比、杰伦·布伦森","中投 +3 · 防守 +4"
"湖人火花","2","勒布朗·詹姆斯、亚历克斯·卡鲁索","控球 +3 · 防守 +4"
"密城双塔","2","扬尼斯·阿德托昆博、布鲁克·洛佩兹","篮下 +4 · 防守 +3"
"挡拆教科书","2","约翰·斯托克顿、卡尔·马龙","控球 +2 · 篮下 +2 · 每关奖金 +1"
"圣城锋线传承","2","布鲁斯·鲍文、科怀·伦纳德","三分 +3 · 防守 +5"
"热火侧翼屏障","2","勒布朗·詹姆斯、肖恩·巴蒂尔","突破 +3 · 防守 +4"
"达拉斯冠军内线","2","德克·诺维茨基、泰森·钱德勒","篮下 +4 · 防守 +3"
"克城火力网","2","勒布朗·詹姆斯、凯尔·科沃尔","三分 +4 · 控球 +3"
"洛城硬仗","2","科比·布莱恩特、罗恩·阿泰斯特","中投 +3 · 防守 +4"
"华莱士双塔","2","本·华莱士、拉希德·华莱士","篮下 +3 · 防守 +5"
"费城总决赛双核","2","阿伦·艾弗森、迪肯贝·穆托姆博","突破 +4 · 防守 +4"
"魔术一号传承","2","安芬尼·哈达威、德怀特·霍华德","控球 +4 · 篮下 +4"
"雄鹿冠军起点","2","奥斯卡·罗伯特森、卡里姆·阿卜杜尔-贾巴尔","控球 +4 · 篮下 +4"
"湖人远古双翼","2","杰里·韦斯特、埃尔金·贝勒","中投 +4 · 突破 +4"
"费城内线传承","2","查尔斯·巴克利、摩西·马龙","篮下 +5 · 防守 +3"
"休城老友","2","克莱德·德雷克斯勒、哈基姆·奥拉朱旺","突破 +4 · 防守 +4"
"勇士旧梦","2","克里斯·穆林、克里斯·韦伯","中投 +4 · 控球 +3"
"手套与雨人","2","加里·佩顿、肖恩·坎普","控球 +3 · 篮下 +4 · 防守 +2"
"全能锋线传承","2","格兰特·希尔、特雷西·麦克格雷迪","中投 +4 · 突破 +4"
"姚麦组合","2","姚明、特雷西·麦克格雷迪","中投 +2 · 篮下 +2 · 胜利奖金 +1"
"活塞后场双核","2","昌西·比卢普斯、理查德·汉密尔顿","控球 +4 · 中投 +4"
"国王双核","2","克里斯·韦伯、佩贾·斯托贾科维奇","控球 +4 · 三分 +4"
"波士顿新旧指挥","2","拉简·隆多、保罗·皮尔斯","控球 +4 · 中投 +3"
"费城冠军双核","2","朱利叶斯·欧文、摩西·马龙","突破 +4 · 篮下 +4"
"雷霆师徒","2","谢伊·吉尔杰斯-亚历山大、克里斯·保罗","控球 +4 · 突破 +4"
