"ID","球员","等级","位置","球队/标签","推荐槽位","三分","中投","突破","控球","篮下","防守","专属天赋","SR原型"
"curry","斯蒂芬·库里","S","PG","勇士","三分","95","95","90","96","80","83","超远射程",""
"lebron","勒布朗·詹姆斯","S","SF","湖人","突破","91","93","95","96","95","94","全能统治",""
"kobe","科比·布莱恩特","S","SG","湖人","中投","92","96","94","93","92","90","关键杀手",""
"duncan","蒂姆·邓肯","S","PF","马刺","篮下","76","93","85","84","95","97","稳固根基",""
"kawhi","科怀·伦纳德","S","SF","快船","防守","92","94","92","89","91","95","死亡缠绕",""
"irving","凯里·欧文","A","PG","独行侠","控球","89","89","90","92","81","79","脚踝终结",""
"durant","凯文·杜兰特","S","SF","太阳","中投","95","96","92","91","94","91","无解投射",""
"jokic","尼古拉·约基奇","S","C","掘金","篮下","90","94","87","97","96","93","中轴策应",""
"giannis","扬尼斯·阿德托昆博","S","PF","雄鹿","突破","82","89","96","92","96","96","禁区冲击",""
"shaq","沙奎尔·奥尼尔","S","C","湖人","篮下","65","84","91","85","96","96","篮下巨兽",""
"jordan","迈克尔·乔丹","S","SG","公牛","中投","90","97","98","95","96","96","最后一投",""
"wade","德维恩·韦德","A","SG","热火","突破","80","88","92","89","86","87","闪电突破",""
"harden","詹姆斯·哈登","A","SG","快船","控球","91","88","90","91","86","80","节奏大师",""
"klay","克莱·汤普森","A","SG","独行侠","三分","92","87","83","82","80","85","接球即投",""
"green","德雷蒙德·格林","B","PF","勇士","防守","76","75","74","80","79","84","防线指挥",""
"holiday","朱·霍勒迪","B","PG","凯尔特人","防守","79","80","77","81","75","83","后场铁闸",""
"white","德里克·怀特","B","G","凯尔特人","防守","79","79","77","80","74","83","追身封盖",""
"lillard","达米安·利拉德","A","PG","雄鹿","三分","91","88","88","90","80","79","超远决胜",""
"tatum","杰森·塔图姆","A","SF","凯尔特人","中投","88","89","88","87","87","87","锋线得分",""
"booker","德文·布克","A","SG","太阳","中投","88","91","87","88","84","82","中投连击",""
"embiid","乔尔·恩比德","A","C","76人","篮下","84","87","84","81","92","90","低位威慑",""
"davis","安东尼·戴维斯","A","PF","湖人","防守","81","85","86","80","90","92","禁区屏障",""
"westbrook","拉塞尔·威斯布鲁克","B","PG","掘金","突破","73","77","85","82","78","78","全速冲锋",""
"paul","克里斯·保罗","A","PG","马刺","控球","87","90","82","93","78","85","精准掌控",""
"nash","史蒂夫·纳什","A","PG","太阳","控球","90","90","83","93","78","77","大师传球",""
"rodman","丹尼斯·罗德曼","B","PF","公牛","防守","61","70","76","69","77","85","篮板狂人",""
"gobert","鲁迪·戈贝尔","B","C","森林狼","防守","56","68","69","67","80","86","护框专家",""
"anunoby","OG·阿奴诺比","C","SF","尼克斯","防守","72","71","72","69","69","78","侧翼防线",""
"caruso","亚历克斯·卡鲁索","C","G","雷霆","防守","71","70","71","73","66","78","拼抢先锋",""
"lopez","布鲁克·洛佩兹","C","C","雄鹿","篮下","72","70","61","62","78","75","高塔投射",""
"magic","埃尔文·约翰逊","S","PG","湖人","控球","90","93","96","98","95","91","魔术传球",""
"bird","拉里·伯德","S","SF","凯尔特人","中投","96","96","90","95","95","93","预言绝杀",""
"kareem","卡里姆·阿卜杜尔-贾巴尔","S","C","湖人","篮下","69","95","88","89","98","97","天勾",""
"hakeem","哈基姆·奥拉朱旺","S","C","火箭","防守","64","93","90","88","98","98","梦幻脚步",""
"dirk","德克·诺维茨基","S","PF","独行侠","中投","96","97","89","90","96","90","金鸡独立",""
"garnett","凯文·加内特","S","PF","凯尔特人","防守","87","95","91","88","97","97","全域协防",""
"pippen","斯科蒂·皮蓬","A","SF","公牛","防守","83","88","90","90","87","92","锋线封锁",""
"rayallen","雷·阿伦","A","SG","凯尔特人","三分","92","89","84","86","80","81","底角绝命",""
"pierce","保罗·皮尔斯","A","SF","凯尔特人","中投","89","91","86","88","87","84","真理单打",""
"iverson","阿伦·艾弗森","A","PG","76人","突破","86","90","93","93","81","78","变向风暴",""
"kidd","贾森·基德","A","PG","篮网","控球","87","88","84","93","81","90","全场视野",""
"malone","卡尔·马龙","A","PF","爵士","篮下","60","88","86","81","92","89","强硬终结",""
"stockton","约翰·斯托克顿","A","PG","爵士","控球","88","89","82","94","76","85","挡拆手术刀",""
"bosh","克里斯·波什","A","PF","热火","篮下","86","88","84","82","90","87","空间内线",""
"parker","托尼·帕克","B","PG","马刺","控球","74","84","85","86","75","72","陀螺突破",""
"ginobili","马努·吉诺比利","B","SG","马刺","突破","81","82","85","84","76","77","欧洲步",""
"pau","保罗·加索尔","B","PF","湖人","篮下","76","84","74","79","85","83","高位策应",""
"benwallace","本·华莱士","B","C","活塞","防守","48","63","71","66","79","88","禁区铁门",""
"mutombo","迪肯贝·穆托姆博","B","C","掘金","防守","48","61","63","62","79","88","摇指封盖",""
"howard","德怀特·霍华德","A","C","魔术","篮下","62","75","88","78","92","93","魔兽空接",""
"carter","文斯·卡特","A","SG","猛龙","突破","88","90","93","88","87","81","世纪扣篮",""
"melo","卡梅隆·安东尼","A","SF","掘金","中投","86","92","88","86","90","80","三威胁",""
"butler","吉米·巴特勒","A","SF","热火","防守","83","90","90","88","87","90","硬仗模式",""
"george","保罗·乔治","A","SF","快船","三分","89","89","88","87","85","90","攻防侧翼",""
"bowen","布鲁斯·鲍文","C","SF","马刺","防守","76","69","66","67","65","78","贴身压迫",""
"battier","肖恩·巴蒂尔","C","SF","热火","防守","76","71","68","70","69","78","遮眼防守",""
"horry","罗伯特·霍里","C","PF","湖人","三分","78","74","69","70","73","75","大心脏",""
"chandler","泰森·钱德勒","B","C","独行侠","防守","48","61","71","63","80","86","冠军护框",""
"korver","凯尔·科沃尔","C","SG","老鹰","三分","81","75","64","70","63","66","定点神射",""
"artest","罗恩·阿泰斯特","B","SF","湖人","防守","77","79","80","78","82","85","强硬锁防",""
"tmac","特雷西·麦克格雷迪","A","SF","魔术","中投","87","92","91","90","88","81","干拔时刻",""
"doncic","卢卡·东契奇","S","PG","独行侠","控球","94","96","95","98","95","90","节奏掌控",""
"isiah","伊赛亚·托马斯","S","PG","活塞","控球","91","95","96","97","87","88","微笑刺客",""
"dumars","乔·杜马斯","A","SG","活塞","防守","88","88","85","88","81","89","沉默锁链",""
"laimbeer","比尔·兰比尔","B","C","活塞","防守","77","75","66","71","83","85","强硬禁区",""
"robinson","大卫·罗宾逊","S","C","马刺","防守","74","92","93","89","98","97","海军上将",""
"ewing","帕特里克·尤因","S","C","尼克斯","篮下","73","94","89","85","97","97","纽约支柱",""
"iguodala","安德烈·伊戈达拉","B","SF","勇士","防守","78","77","80","81","78","84","死亡拼图",""
"harper","罗恩·哈珀","B","PG","公牛","防守","75","78","80","80","77","83","高大后卫",""
"longley","卢克·朗利","C","C","公牛","篮下","49","66","58","64","78","74","中路屏障",""
"fisher","德里克·费舍尔","B","PG","湖人","三分","83","78","72","79","70","76","关键零点四",""
"fox","里克·福克斯","C","SF","湖人","防守","73","70","69","70","69","78","侧翼粘合",""
"byron_scott","拜伦·斯科特","B","SG","湖人","三分","83","80","81","79","74","75","快攻终结",""
"worthy","詹姆斯·沃西","A","SF","湖人","突破","77","88","92","86","89","85","大赛眼镜蛇",""
"ac_green","AC·格林","C","PF","湖人","防守","63","69","67","66","74","78","铁人篮板",""
"griffin","布雷克·格里芬","A","PF","快船","篮下","80","86","91","84","91","84","暴力起飞",""
"deandre","德安德烈·乔丹","B","C","快船","篮下","48","62","74","66","83","85","空接终点",""
"mchale","凯文·麦克海尔","S","PF","凯尔特人","篮下","68","95","88","86","97","97","低位万花筒",""
"parish","罗伯特·帕里什","A","C","凯尔特人","篮下","59","86","79","75","91","90","酋长镇守",""
