"ID","球员","调整前等级","正式等级","位置","球队/标签","调整说明"
"curry","斯蒂芬·库里","S","S","PG","勇士","保留"
"lebron","勒布朗·詹姆斯","S","S","SF","湖人","保留"
"kobe","科比·布莱恩特","S","S","SG","湖人","保留"
"duncan","蒂姆·邓肯","S","S","PF","马刺","保留"
"kawhi","科怀·伦纳德","S","A","SF","快船","按确认比例与球员定位调整"
"irving","凯里·欧文","A","B","PG","独行侠","按确认比例与球员定位调整"
"durant","凯文·杜兰特","S","S","SF","太阳","保留"
"jokic","尼古拉·约基奇","S","A","C","掘金","按确认比例与球员定位调整"
"giannis","扬尼斯·阿德托昆博","S","A","PF","雄鹿","按确认比例与球员定位调整"
"shaq","沙奎尔·奥尼尔","S","S","C","湖人","保留"
"jordan","迈克尔·乔丹","S","S","SG","公牛","保留"
"wade","德维恩·韦德","A","A","SG","热火","保留"
"harden","詹姆斯·哈登","A","S","SG","快船","按确认比例与球员定位调整"
"klay","克莱·汤普森","A","B","SG","独行侠","按确认比例与球员定位调整"
"green","德雷蒙德·格林","B","B","PF","勇士","保留"
"holiday","朱·霍勒迪","B","B","PG","凯尔特人","保留"
"white","德里克·怀特","B","B","G","凯尔特人","保留"
"lillard","达米安·利拉德","A","B","PG","雄鹿","按确认比例与球员定位调整"
"tatum","杰森·塔图姆","A","B","SF","凯尔特人","按确认比例与球员定位调整"
"booker","德文·布克","A","B","SG","太阳","按确认比例与球员定位调整"
"embiid","乔尔·恩比德","A","A","C","76人","保留"
"davis","安东尼·戴维斯","A","A","PF","湖人","保留"
"westbrook","拉塞尔·威斯布鲁克","B","B","PG","掘金","保留"
"paul","克里斯·保罗","A","A","PG","马刺","保留"
"nash","史蒂夫·纳什","A","A","PG","太阳","保留"
"rodman","丹尼斯·罗德曼","B","B","PF","公牛","保留"
"gobert","鲁迪·戈贝尔","B","B","C","森林狼","保留"
"anunoby","OG·阿奴诺比","C","C","SF","尼克斯","保留"
"caruso","亚历克斯·卡鲁索","C","C","G","雷霆","保留"
"lopez","布鲁克·洛佩兹","C","C","C","雄鹿","保留"
"magic","埃尔文·约翰逊","S","S","PG","湖人","保留"
"bird","拉里·伯德","S","S","SF","凯尔特人","保留"
"kareem","卡里姆·阿卜杜尔-贾巴尔","S","S","C","湖人","保留"
"hakeem","哈基姆·奥拉朱旺","S","S","C","火箭","保留"
"dirk","德克·诺维茨基","S","A","PF","独行侠","按确认比例与球员定位调整"
"garnett","凯文·加内特","S","A","PF","凯尔特人","按确认比例与球员定位调整"
"pippen","斯科蒂·皮蓬","A","A","SF","公牛","保留"
"rayallen","雷·阿伦","A","A","SG","凯尔特人","保留"
"pierce","保罗·皮尔斯","A","B","SF","凯尔特人","按确认比例与球员定位调整"
"iverson","阿伦·艾弗森","A","A","PG","76人","保留"
"kidd","贾森·基德","A","A","PG","篮网","保留"
"malone","卡尔·马龙","A","A","PF","爵士","保留"
"stockton","约翰·斯托克顿","A","A","PG","爵士","保留"
"bosh","克里斯·波什","A","B","PF","热火","按确认比例与球员定位调整"
"parker","托尼·帕克","B","B","PG","马刺","保留"
"ginobili","马努·吉诺比利","B","B","SG","马刺","保留"
"pau","保罗·加索尔","B","B","PF","湖人","保留"
"benwallace","本·华莱士","B","B","C","活塞","保留"
"mutombo","迪肯贝·穆托姆博","B","B","C","掘金","保留"
"howard","德怀特·霍华德","A","A","C","魔术","保留"
"carter","文斯·卡特","A","B","SG","猛龙","按确认比例与球员定位调整"
"melo","卡梅隆·安东尼","A","B","SF","掘金","按确认比例与球员定位调整"
"butler","吉米·巴特勒","A","B","SF","热火","按确认比例与球员定位调整"
"george","保罗·乔治","A","B","SF","快船","按确认比例与球员定位调整"
"bowen","布鲁斯·鲍文","C","C","SF","马刺","保留"
"battier","肖恩·巴蒂尔","C","C","SF","热火","保留"
"horry","罗伯特·霍里","C","C","PF","湖人","保留"
"chandler","泰森·钱德勒","B","B","C","独行侠","保留"
"korver","凯尔·科沃尔","C","C","SG","老鹰","保留"
"artest","罗恩·阿泰斯特","B","B","SF","湖人","保留"
"tmac","特雷西·麦克格雷迪","A","A","SF","魔术","保留"
"doncic","卢卡·东契奇","S","A","PG","独行侠","按确认比例与球员定位调整"
"isiah","伊赛亚·托马斯","S","A","PG","活塞","按确认比例与球员定位调整"
"dumars","乔·杜马斯","A","B","SG","活塞","按确认比例与球员定位调整"
"laimbeer","比尔·兰比尔","B","B","C","活塞","保留"
"robinson","大卫·罗宾逊","S","A","C","马刺","按确认比例与球员定位调整"
"ewing","帕特里克·尤因","S","A","C","尼克斯","按确认比例与球员定位调整"
"iguodala","安德烈·伊戈达拉","B","B","SF","勇士","保留"
"harper","罗恩·哈珀","B","B","PG","公牛","保留"
"longley","卢克·朗利","C","C","C","公牛","保留"
