"羁绊","人数","成员","效果","截图覆盖情况"
"卧龙凤雏","2","诸葛亮、庞统","谋略 +9%","12 张总览截图可辨认"
"江东二乔","2","大乔、小乔","续战 +6%；每轮 +1 金","12 张总览截图可辨认"
"虎卫双雄","2","典韦、许褚","猛攻 +7%；守备 +4%","12 张总览截图可辨认"
"三顾茅庐","2","刘备、诸葛亮","谋略 +4%","12 张总览截图可辨认"
"我们两个真强","2","赵云、刘禅","猛攻 +5%；守备 +5%","12 张总览截图可辨认"
"衣钵相传","2","诸葛亮、姜维","谋略 +5%","12 张总览截图可辨认"
"孔明伉俪","2","诸葛亮、黄月英","谋略 +3%；续战 +2%；每轮 +1 金","12 张总览截图可辨认"
"小关张","2","关兴、张苞","猛攻 +3%","12 张总览截图可辨认"
"老将争雄","2","黄忠、严颜","猛攻 +3%","12 张总览截图可辨认"
"街亭得失","2","王平、马谡","守备 +3%；谋略 +2%","12 张总览截图可辨认"
"夏侯双雄","2","夏侯惇、夏侯渊","猛攻 +4%；每轮 +1 金","12 张总览截图可辨认"
"荀氏叔侄","2","荀彧、荀攸","谋略 +5%；每轮 +1 金","12 张总览截图可辨认"
"合肥威震","2","张辽、乐进","统兵 +2%；猛攻 +4%；战胜额外 +1 金","12 张总览截图可辨认"
"灭蜀双锋","2","邓艾、钟会","统兵 +4%；谋略 +3%","12 张总览截图可辨认"
"魏宫托孤","2","司马懿、曹叡","统兵 +3%；谋略 +3%","12 张总览截图可辨认"
"四友辅嗣","2","司马懿、曹丕","谋略 +5%；每轮 +1 金","12 张总览截图可辨认"
"渭滨对垒","2","司马懿、诸葛亮","统兵 +4%；谋略 +5%","12 张总览截图可辨认"
"街亭合围","2","司马懿、张郃","统兵 +4%；守备 +4%","12 张总览截图可辨认"
"洛神赋影","2","曹植、甄宓","谋略 +2%；续战 +1%","12 张总览截图可辨认"
"神亭酣战","2","孙策、太史慈","猛攻 +5%","12 张总览截图可辨认"
"苦肉连环","2","周瑜、黄盖","谋略 +4%","12 张总览截图可辨认"
"解怨同袍","2","甘宁、凌统","猛攻 +4%","12 张总览截图可辨认"
"宣城救主","2","孙权、周泰","守备 +4%","12 张总览截图可辨认"
"陆氏将略","2","陆逊、陆抗","谋略 +4%；守备 +3%；每轮 +1 金","12 张总览截图可辨认"
"河北双雄","2","颜良、文丑","猛攻 +5%；战胜额外 +1 金","12 张总览截图可辨认"
"河北谋臣","2","田丰、沮授","谋略 +5%；战胜额外 +1 金","12 张总览截图可辨认"
"南中伉俪","2","孟获、祝融夫人","猛攻 +3%；续战 +2%；每轮 +1 金","12 张总览截图可辨认"
"方外奇士","2","华佗、左慈","谋略 +2%；续战 +3%；每轮 +1 金","12 张总览截图可辨认"
"黄巾鏖兵","2","张角、皇甫嵩","统兵 +3%；猛攻 +2%","12 张总览截图可辨认"
"徐州相让","2","刘备、陶谦","续战 +3%；每轮 +1 金","12 张总览截图可辨认"
"北海报恩","2","太史慈、孔融","猛攻 +3%；续战 +1%","12 张总览截图可辨认"
"白马旧识","2","赵云、公孙瓒","猛攻 +3%","12 张总览截图可辨认"
"温酒斩将","2","关羽、华雄","猛攻 +3%","12 张总览截图可辨认"
"邺城死守","2","袁绍、审配","守备 +3%；战胜额外 +1 金","12 张总览截图可辨认"
"乌巢夜谋","2","曹操、许攸","谋略 +4%；战胜额外 +1 金","12 张总览截图可辨认"
"文姬归汉","2","曹操、蔡文姬","续战 +3%；每轮 +1 金","12 张总览截图可辨认"
"相国谋主","2","董卓、李儒","谋略 +3%；战胜额外 +1 金","12 张总览截图可辨认"
"刮骨疗毒","2","关羽、华佗","续战 +3%","12 张总览截图可辨认"
"益州暗流","2","法正、刘璋","谋略 +3%；每轮 +1 金","12 张总览截图可辨认"
"荆州宾主","2","刘表、伊籍","续战 +2%；每轮 +1 金","12 张总览截图可辨认"
"陇右争锋","2","姜维、邓艾","统兵 +3%；谋略 +3%；战胜额外 +1 金","12 张总览截图可辨认"
"定军山","2","黄忠、夏侯渊","猛攻 +4%；战胜额外 +1 金","12 张总览截图可辨认"
"襄城死战","2","马超、王异","守备 +3%；猛攻 +2%；战胜额外 +1 金","12 张总览截图可辨认"
"荆襄旧部","2","廖化、周仓","猛攻 +2%；续战 +1%；每轮 +1 金","12 张总览截图可辨认"
"九品定制","2","陈群、曹丕","谋略 +2%；续战 +2%；每轮 +1 金","12 张总览截图可辨认"
"山越经略","2","孙权、全琮","统兵 +2%；续战 +2%","12 张总览截图可辨认"
"袁氏兄弟","2","袁绍、袁术","续战 +2%","12 张总览截图可辨认"
"汉中归附","2","曹操、张鲁","续战 +2%","12 张总览截图可辨认"
"帝国双璧","2","卫青、霍去病","猛攻 +9%","12 张总览截图可辨认"
"封狼居胥","2","刘彻、霍去病","猛攻 +6%；每次胜利 +2 金","12 张总览截图可辨认"
"北击匈奴","2","刘彻、卫青","统兵 +6%；续战 +4%","12 张总览截图可辨认"
"秦灭六国","2","白起、王翦","全阶段 +5%","12 张总览截图可辨认"
"桃园结义","3","刘备、关羽、张飞","全阶段 +10%；激活后每 2 场胜利 +1 军心（可突破上限）","12 张总览截图可辨认"
"元从旧部","3","刘备、麋竺、简雍","续战 +5%；每轮 +2 金","12 张总览截图可辨认"
"荆州故交","3","刘备、徐庶、伊籍","谋略 +4%；续战 +3%；每轮 +2 金","12 张总览截图可辨认"
"关氏部曲","3","关羽、关平、周仓","猛攻 +5%；守备 +4%；每轮 +1 金","12 张总览截图可辨认"
"北伐中坚","3","魏延、姜维、王平","统兵 +5%；猛攻 +4%；战胜额外 +1 金","12 张总览截图可辨认"
"西凉马氏","3","马超、马岱、马腾","猛攻 +7%；统兵 +3%","12 张总览截图可辨认"
"白帝托孤","3","刘备、诸葛亮、刘禅","谋略 +4%；续战 +5%；每轮 +1 金","12 张总览截图可辨认"
"魏室三代","3","曹操、曹丕、曹叡","统兵 +7%；续战 +4%；每轮 +1 金","12 张总览截图可辨认"
"铜雀文华","3","曹丕、曹植、杨修","谋略 +4%；续战 +3%；战胜额外 +1 金","12 张总览截图可辨认"
"江东三世","3","孙坚、孙策、孙权","全阶段 +7%","12 张总览截图可辨认"
"江东宿将","3","程普、黄盖、韩当","守备 +7%；战胜额外 +1 金","12 张总览截图可辨认"
"江表后劲","3","丁奉、徐盛、朱然","守备 +5%；猛攻 +3%；每轮 +1 金","12 张总览截图可辨认"
"下邳孤城","3","吕布、高顺、陈宫","猛攻 +7%；守备 +5%","12 张总览截图可辨认"
"辕门射戟","3","刘备、吕布、纪灵","统兵 +4%；续战 +3%","12 张总览截图可辨认"
"宛城旧恨","3","曹操、贾诩、典韦","谋略 +5%；守备 +4%","12 张总览截图可辨认"
"水淹七军","3","关羽、于禁、庞德","猛攻 +5%；谋略 +4%","12 张总览截图可辨认"
"夷陵争锋","3","刘备、陆逊、朱然","谋略 +5%；守备 +4%","12 张总览截图可辨认"
"东吴四英杰","4","周瑜、陆逊、鲁肃、吕蒙","谋略 +18%；续战 +11%；每轮 +3 金","12 张总览截图可辨认"
"蜀汉四相","4","诸葛亮、蒋琬、费祎、董允","谋略 +13%；续战 +9%；每轮 +1 免费招募","12 张总览截图可辨认"
"曹魏屏藩","4","曹仁、文聘、满宠、曹洪","守备 +11%；续战 +5%","12 张总览截图可辨认"
"江东股肱","4","张昭、诸葛瑾、顾雍、步骘","谋略 +10%；续战 +8%","12 张总览截图可辨认"
"白衣渡江","4","陆逊、吕蒙、潘璋、朱然","谋略 +13%；猛攻 +7%","12 张总览截图可辨认"
"连环计","4","吕布、董卓、貂蝉、王允","谋略 +15%；战胜额外 +2 金","12 张总览截图可辨认"
"五虎上将","5","关羽、张飞、赵云、马超、黄忠","猛攻 +24%；统兵 +12%；战胜额外 +2 金","12 张总览截图可辨认"
"五子良将","5","张辽、徐晃、张郃、于禁、乐进","统兵 +20%；守备 +14%；每轮 +5 金","12 张总览截图可辨认"
"魏武谋臣","5","郭嘉、荀彧、贾诩、荀攸、程昱","谋略 +22%；每轮 +2 免费招募","12 张总览截图可辨认"
"赤壁风云","5","诸葛亮、曹操、周瑜、鲁肃、黄盖","谋略 +20%；续战 +8%；每轮 +4 金；战胜额外 +3 金","12 张总览截图可辨认"
"官渡决胜","5","曹操、郭嘉、袁绍、田丰、沮授","谋略 +16%；统兵 +8%；每轮 +4 金","12 张总览截图可辨认"
