"角色","截图中关联羁绊数","截图中关联羁绊"
"刘备","8","三顾茅庐、徐州相让、桃园结义、元从旧部、荆州故交、白帝托孤、辕门射戟、夷陵争锋"
"诸葛亮","8","卧龙凤雏、三顾茅庐、衣钵相传、孔明伉俪、渭滨对垒、白帝托孤、蜀汉四相、赤壁风云"
"曹操","7","乌巢夜谋、文姬归汉、汉中归附、魏室三代、宛城旧恨、赤壁风云、官渡决胜"
"关羽","6","温酒斩将、刮骨疗毒、桃园结义、关氏部曲、水淹七军、五虎上将"
"曹丕","4","四友辅嗣、九品定制、魏室三代、铜雀文华"
"陆逊","4","陆氏将略、夷陵争锋、东吴四英杰、白衣渡江"
"司马懿","4","魏宫托孤、四友辅嗣、渭滨对垒、街亭合围"
"黄盖","3","苦肉连环、江东宿将、赤壁风云"
"黄忠","3","老将争雄、定军山、五虎上将"
"姜维","3","衣钵相传、陇右争锋、北伐中坚"
"吕布","3","下邳孤城、辕门射戟、连环计"
"马超","3","襄城死战、西凉马氏、五虎上将"
"孙权","3","宣城救主、山越经略、江东三世"
"袁绍","3","邺城死守、袁氏兄弟、官渡决胜"
"赵云","3","我们两个真强、白马旧识、五虎上将"
"周瑜","3","苦肉连环、东吴四英杰、赤壁风云"
"朱然","3","江表后劲、夷陵争锋、白衣渡江"
"曹叡","2","魏宫托孤、魏室三代"
"曹植","2","洛神赋影、铜雀文华"
"邓艾","2","灭蜀双锋、陇右争锋"
"典韦","2","虎卫双雄、宛城旧恨"
"董卓","2","相国谋主、连环计"
"郭嘉","2","魏武谋臣、官渡决胜"
"华佗","2","方外奇士、刮骨疗毒"
"霍去病","2","帝国双璧、封狼居胥"
"贾诩","2","宛城旧恨、魏武谋臣"
"沮授","2","河北谋臣、官渡决胜"
"乐进","2","合肥威震、五子良将"
"刘禅","2","我们两个真强、白帝托孤"
"刘彻","2","封狼居胥、北击匈奴"
"鲁肃","2","东吴四英杰、赤壁风云"
"吕蒙","2","东吴四英杰、白衣渡江"
"孙策","2","神亭酣战、江东三世"
"太史慈","2","神亭酣战、北海报恩"
"田丰","2","河北谋臣、官渡决胜"
"王平","2","街亭得失、北伐中坚"
"卫青","2","帝国双璧、北击匈奴"
"夏侯渊","2","夏侯双雄、定军山"
"荀攸","2","荀氏叔侄、魏武谋臣"
"荀彧","2","荀氏叔侄、魏武谋臣"
"伊籍","2","荆州宾主、荆州故交"
"于禁","2","水淹七军、五子良将"
"张飞","2","桃园结义、五虎上将"
"张郃","2","街亭合围、五子良将"
"张辽","2","合肥威震、五子良将"
"周仓","2","荆襄旧部、关氏部曲"
"白起","1","秦灭六国"
"步骘","1","江东股肱"
"蔡文姬","1","文姬归汉"
"曹洪","1","曹魏屏藩"
"曹仁","1","曹魏屏藩"
"陈宫","1","下邳孤城"
"陈群","1","九品定制"
"程普","1","江东宿将"
"程昱","1","魏武谋臣"
"大乔","1","江东二乔"
"貂蝉","1","连环计"
"丁奉","1","江表后劲"
"董允","1","蜀汉四相"
"法正","1","益州暗流"
"费祎","1","蜀汉四相"
"甘宁","1","解怨同袍"
"高顺","1","下邳孤城"
"公孙瓒","1","白马旧识"
"顾雍","1","江东股肱"
"关平","1","关氏部曲"
"关兴","1","小关张"
"韩当","1","江东宿将"
"华雄","1","温酒斩将"
"皇甫嵩","1","黄巾鏖兵"
"黄月英","1","孔明伉俪"
"纪灵","1","辕门射戟"
"简雍","1","元从旧部"
"蒋琬","1","蜀汉四相"
"孔融","1","北海报恩"
"李儒","1","相国谋主"
"廖化","1","荆襄旧部"
"凌统","1","解怨同袍"
"刘表","1","荆州宾主"
"刘璋","1","益州暗流"
"陆抗","1","陆氏将略"
"马岱","1","西凉马氏"
"马谡","1","街亭得失"
"马腾","1","西凉马氏"
"满宠","1","曹魏屏藩"
"孟获","1","南中伉俪"
"麋竺","1","元从旧部"
"潘璋","1","白衣渡江"
"庞德","1","水淹七军"
"庞统","1","卧龙凤雏"
"全琮","1","山越经略"
"审配","1","邺城死守"
"孙坚","1","江东三世"
"陶谦","1","徐州相让"
"王翦","1","秦灭六国"
"王异","1","襄城死战"
"王允","1","连环计"
"魏延","1","北伐中坚"
"文丑","1","河北双雄"
"文聘","1","曹魏屏藩"
"夏侯惇","1","夏侯双雄"
"小乔","1","江东二乔"
"徐晃","1","五子良将"
"徐盛","1","江表后劲"
"徐庶","1","荆州故交"
"许褚","1","虎卫双雄"
"许攸","1","乌巢夜谋"
"严颜","1","老将争雄"
"颜良","1","河北双雄"
"杨修","1","铜雀文华"
"袁术","1","袁氏兄弟"
"张苞","1","小关张"
"张角","1","黄巾鏖兵"
"张鲁","1","汉中归附"
"张昭","1","江东股肱"
"甄宓","1","洛神赋影"
"钟会","1","灭蜀双锋"
"周泰","1","宣城救主"
"诸葛瑾","1","江东股肱"
"祝融夫人","1","南中伉俪"
"左慈","1","方外奇士"
